input_file,base_file,temp,shifts,time_step,mineral,multiplier
job108_Glass_1.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Glass,1
job109_Glass_10.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Glass,10
job110_Glass_100.pqi,Beerling_Clean_V3.pqi,5,150,1052166.029,Glass,100
job111_MikeSorghum_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,MikeSorghum,0.01
job112_MikeSorghum_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,MikeSorghum,0.1
job113_MikeSorghum_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,MikeSorghum,1
job114_MikeSorghum_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,MikeSorghum,10
job115_MikeSorghum_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,MikeSorghum,100
job116_Quartz_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Quartz,0.01
job117_Quartz_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Quartz,0.1
job118_Quartz_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Quartz,1
job119_Quartz_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Quartz,10
job120_Quartz_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Quartz,100
job121_Plagioclase_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Plagioclase,0.01
job122_Plagioclase_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Plagioclase,0.1
job123_Plagioclase_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Plagioclase,1
job124_Plagioclase_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Plagioclase,10
job125_Plagioclase_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Plagioclase,100
job126_Apatite_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Apatite,0.01
job127_Apatite_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Apatite,0.1
job128_Apatite_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Apatite,1
job129_Apatite_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Apatite,10
job130_Apatite_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Apatite,100
job131_Diopside_Mn_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside_Mn,0.01
job132_Diopside_Mn_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside_Mn,0.1
job133_Diopside_Mn_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside_Mn,1
job134_Diopside_Mn_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside_Mn,10
job135_Diopside_Mn_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside_Mn,100
job136_Diopside_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside,0.01
job137_Diopside_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside,0.1
job138_Diopside_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside,1
job139_Diopside_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside,10
job140_Diopside_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Diopside,100
job141_Olivine_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Olivine,0.01
job142_Olivine_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Olivine,0.1
job143_Olivine_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Olivine,1
job144_Olivine_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Olivine,10
job145_Olivine_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Olivine,100
job146_Alkali-feldspar_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Alkali-feldspar,0.01
job147_Alkali-feldspar_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Alkali-feldspar,0.1
job148_Alkali-feldspar_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Alkali-feldspar,1
job149_Alkali-feldspar_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Alkali-feldspar,10
job150_Alkali-feldspar_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Alkali-feldspar,100
job151_Montmorillonite_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Montmorillonite,0.01
job152_Montmorillonite_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Montmorillonite,0.1
job153_Montmorillonite_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Montmorillonite,1
job154_Montmorillonite_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Montmorillonite,10
job155_Montmorillonite_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Montmorillonite,100
job156_Ilmenite_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Ilmenite,0.01
job157_Ilmenite_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Ilmenite,0.1
job158_Ilmenite_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Ilmenite,1
job159_Ilmenite_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Ilmenite,10
job160_Ilmenite_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Ilmenite,100
job161_Glass_0.01.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Glass,0.01
job162_Glass_0.1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Glass,0.1
job163_Glass_1.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Glass,1
job164_Glass_10.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Glass,10
job165_Glass_100.pqi,Beerling_Clean_V3.pqi,5,200,789124.522,Glass,100
job166_MikeSorghum_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,MikeSorghum,0.01
job167_MikeSorghum_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,MikeSorghum,0.1
job168_MikeSorghum_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,MikeSorghum,1
job169_MikeSorghum_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,MikeSorghum,10
job170_MikeSorghum_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,MikeSorghum,100
job171_Quartz_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Quartz,0.01
job172_Quartz_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Quartz,0.1
job173_Quartz_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Quartz,1
job174_Quartz_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Quartz,10
job175_Quartz_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Quartz,100
job176_Plagioclase_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Plagioclase,0.01
job177_Plagioclase_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Plagioclase,0.1
job178_Plagioclase_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Plagioclase,1
job179_Plagioclase_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Plagioclase,10
job180_Plagioclase_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Plagioclase,100
job181_Apatite_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Apatite,0.01
job182_Apatite_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Apatite,0.1
job183_Apatite_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Apatite,1
job184_Apatite_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Apatite,10
job185_Apatite_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Apatite,100
job186_Diopside_Mn_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside_Mn,0.01
job187_Diopside_Mn_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside_Mn,0.1
job188_Diopside_Mn_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside_Mn,1
job189_Diopside_Mn_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside_Mn,10
job190_Diopside_Mn_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside_Mn,100
job191_Diopside_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside,0.01
job192_Diopside_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside,0.1
job193_Diopside_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside,1
job194_Diopside_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside,10
job195_Diopside_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Diopside,100
job196_Olivine_0.01.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Olivine,0.01
job197_Olivine_0.1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Olivine,0.1
job198_Olivine_1.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Olivine,1
job199_Olivine_10.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Olivine,10
job200_Olivine_100.pqi,Beerling_Clean_V3.pqi,5,250,631299.618,Olivine,100
